time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0.5	0.95	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	-0.34026	1.91324	2.28776	1.59013	0.0214492	radar	31.0071	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15197	0.620749	3.14137	0.0450361	0.0230476	lidar	10.7994	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24407	0.514531	3.9163	2.111	0.199288	radar	12.0343	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.36057	0.736444	4.1648	1.48291	0.182801	lidar	6.37215	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85456	0.820149	3.50573	0.185855	-0.395451	radar	26.7282	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.04766	0.831169	3.43579	0.104846	-0.446483	lidar	2.67616	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.2966	0.817411	4.75591	0.0706837	-0.483011	radar	17.5855	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.5531	0.798836	4.80671	-0.0212215	-0.676357	lidar	1.53524	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.84918	0.723827	5.38682	-0.147185	-0.901614	radar	3.9971	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09283	0.665883	5.36038	-0.204933	-0.965134	lidar	0.408196	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.38873	0.538673	5.72355	-0.324948	-1.14814	radar	1.90582	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.69777	0.394879	5.88508	-0.437232	-1.29216	lidar	2.554	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98839	0.474445	5.71657	-0.259894	-0.579162	radar	6.1587	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.2679	0.461002	5.61121	-0.227038	-0.413582	lidar	1.04046	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.52761	0.515342	5.33904	-0.140901	-0.14733	radar	2.59092	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.70778	0.636914	4.98013	-0.00990324	0.172401	lidar	11.8783	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.96141	0.638254	4.92999	0.00156671	0.179938	radar	0.745626	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26033	0.638309	5.0411	0.00926077	0.177647	lidar	3.59206	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52142	0.648081	5.30537	0.0236367	0.187713	radar	1.69404	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82507	0.671006	5.38436	0.0440297	0.207512	lidar	2.15918	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06419	0.604623	5.07019	-0.0026454	0.108206	radar	3.24146	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
